OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
2079015483119780|37007920302|Census Tract 9203.02|84665736|21584|G5020|S|20740142438561|37007920300|Census Tract 9203|317156470|140939|G5020|S|84665736|21584
20790142438557|37007920400|Census Tract 9204|106275528|71786|G5020|S|20740142438554|37007920200|Census Tract 9202|176647935|1173904|G5020|S|13148|0
20790142438557|37007920400|Census Tract 9204|106275528|71786|G5020|S|20740142438557|37007920400|Census Tract 9204|106261253|71786|G5020|S|106261253|71786
20790142438557|37007920400|Census Tract 9204|106275528|71786|G5020|S|20740142438564|37007920500|Census Tract 9205|91749251|341998|G5020|S|1127|0
2079015483119832|37007920501|Census Tract 9205.01|55964191|261792|G5020|S|20740142438564|37007920500|Census Tract 9205|91749251|341998|G5020|S|55964191|261792
2079015483119792|37007920502|Census Tract 9205.02|35783933|80206|G5020|S|20740142438564|37007920500|Census Tract 9205|91749251|341998|G5020|S|35783933|80206
20790142438569|37007920600|Census Tract 9206|421505787|1548204|G5020|S|20740142438569|37007920600|Census Tract 9206|421505787|1548204|G5020|S|421505787|1548204
2079015504624734|37007980000|Census Tract 9800|1422729|0|G5020|S|20740142438561|37007920300|Census Tract 9203|317156470|140939|G5020|S|1422729|0
20790294712622|37009970200|Census Tract 9702|141261323|702771|G5020|S|20740294712622|37009970200|Census Tract 9702|141244789|702771|G5020|S|141244789|702771
20790294712622|37009970200|Census Tract 9702|141261323|702771|G5020|S|207403716971037|37009970800|Census Tract 9708|318059490|4244344|G5020|S|16534|0
20790294712666|37009970300|Census Tract 9703|214172843|538215|G5020|S|20740294712666|37009970300|Census Tract 9703|214173182|538215|G5020|S|214172843|538215
